# Better Third Person Selection 0.8.9 — reviewable Traditional Chinese source
# Format: key<TAB>translation. Keys and their order are copied from the active 0.8.9 English file.
$BetterThidPersonSelection	更佳第三人稱選取
$BetterThirdPersonSelection_HoldToDismountMinTime_HorseBack_OptionText	最短長按時間
$BetterThirdPersonSelection_HoldToDismountMinTime_HorseBack_InfoText	啟用長按下馬後，這是啟動鍵必須按住多久（秒）進度圓環才會出現。
$BetterThirdPersonSelection_WidgetPage	小工具
$BetterThirdPersonSelection_WidgetSettings_HeaderText	小工具設定
$BetterThirdPersonSelection_IsWidget3DEnabledInFirstPerson_OptionText	第一人稱時啟用 3D 小工具
$BetterThirdPersonSelection_IsWidget3DEnabledInFirstPerson_InfoText	在第一人稱時為所選物件啟用／停用 3D 小工具。
$BetterThirdPersonSelection_IsWidget3DEnabledInThirdPerson_OptionText	第三人稱時啟用 3D 小工具
$BetterThirdPersonSelection_IsWidget3DEnabledInThirdPerson_InfoText	在第三人稱時為所選物件啟用／停用 3D 小工具。
$BetterThirdPersonSelection_IsWidget3DEnabledOnHorseBack_OptionText	騎乘時啟用 3D 小工具
$BetterThirdPersonSelection_IsWidget3DEnabledOnHorseBack_InfoText	騎乘時為所選物件啟用／停用 3D 小工具。
$BetterThirdPersonSelection_IsWidget3DEnabledInCombat_OptionText	戰鬥中啟用 3D 小工具
$BetterThirdPersonSelection_IsWidget3DEnabledInCombat_InfoText	戰鬥中為所選物件啟用／停用 3D 小工具。
$BetterThirdPersonSelection_IsWidget3DEnabledWithWeaponsDrawn_OptionText	拔出武器時啟用 3D 小工具
$BetterThirdPersonSelection_IsWidget3DEnabledWithWeaponsDrawn_InfoText	玩家拔出武器時為所選物件啟用／停用 3D 小工具。
$BetterThirdPersonSelection_WidgetStyleSettings_HeaderText	3D 小工具樣式
$BetterThirdPersonSelection_IsIsDividerEnabled_OptionText	啟用灰色分隔條
$BetterThirdPersonSelection_IsDividerEnabled_InfoText	啟用／停用物件名稱與重量／價值之間的灰色分隔條。
$BetterThirdPersonSelection_IsActivationButtonEnabled_OptionText	啟用啟動按鈕
$BetterThirdPersonSelection_IsActivationButtonEnabled_InfoText	啟用／停用啟動按鈕小工具。
$BetterThirdPersonSelection_IsItemInfoEnabled_OptionText	啟用物品資訊
$BetterThirdPersonSelection_IsItemInfoEnabled_InfoText	啟用／停用重量／價值等物品資訊細節。
$BetterThirdPersonSelection_IsDismountProgressCirlcleEnabled_OptionText	啟用下馬進度圓環
$BetterThirdPersonSelection_IsDismountProgressCirlcleEnabled_InfoText	下馬時啟用／停用畫面中央的動畫圓環。
$BetterThirdPersonSelection_WidgetAlpha_OptionText	小工具不透明度
$BetterThirdPersonSelection_WidgetAlpha_InfoText	所有小工具的不透明度／Alpha（0.0-100.0）。也套用至 2D 小工具。
$BetterThirdPersonSelection_WidgetZOffset_OptionText	3D 小工具高度偏移
$BetterThirdPersonSelection_WidgetZOffset_InfoText	讓某些物件上的 3D 小工具向上移動（負值則向下）。不套用於小工具位於中央的物件，或已透過設定檔移動小工具的物件。
$BetterThirdPersonSelection_WidgetZOffsetFirstPerson_OptionText	3D 小工具高度偏移（第一人稱）
$BetterThirdPersonSelection_WidgetZOffsetFirstPerson_InfoText	讓某些物件上的 3D 小工具向上移動（負值則向下），只在第一人稱時套用。
$BetterThirdPersonSelection_WidgetZOffsetAdditionalNPC_OptionText	NPC 額外 3D 小工具高度偏移
$BetterThirdPersonSelection_WidgetZOffsetAdditionalNPC_InfoText	讓 NPC 上的 3D 小工具進一步向上移動。
$BetterThirdPersonSelection_2DWidgetStyleSettings_HeaderText	2D 小工具樣式
$BetterThirdPersonSelection_Widget2DSize_OptionText	2D 小工具大小
$BetterThirdPersonSelection_Widget2DSize_InfoText	2D 小工具的大小。目前停用 3D 小工具時會使用此小工具。
$BetterThirdPersonSelection_Widget2DXPos_OptionText	2D 小工具 X 位置
$BetterThirdPersonSelection_Widget2DXPos_InfoText	2D 小工具的 X 位置，以螢幕寬度百分比表示（0.0 - 1.0）。
$BetterThirdPersonSelection_Widget2DYPos_OptionText	2D 小工具 Y 位置
$BetterThirdPersonSelection_Widget2DYPos_InfoText	2D 小工具的 Y 位置，以螢幕高度百分比表示（0.0 - 1.0）。
$BetterThirdPersonSelection_fWidgetFadeInDelta_OptionText	小工具淡入速度
$BetterThirdPersonSelection_fWidgetFadeInDelta_InfoText	小工具淡入的速度。設為 0.0 或 1.0 可立即淡入。
$BetterThirdPersonSelection_fWidgetFadeOutDelta_OptionText	小工具淡出速度
$BetterThirdPersonSelection_fWidgetFadeOutDelta_InfoText	小工具淡出的速度。設為 0.0 或 1.0 可立即淡出。
$BetterThirdPersonSelection_WidgetSizeMin_OptionText	最小小工具大小
$BetterThirdPersonSelection_WidgetSizeMin_InfoText	距離相機最遠時的小工具大小。
$BetterThirdPersonSelection_WidgetSizeMax_OptionText	最大小工具大小
$BetterThirdPersonSelection_WidgetSizeMax_InfoText	距離相機最近時的小工具大小。
$BetterThirdPersonSelection_WidgetSizeMin_HorseBack_OptionText	最小小工具大小（騎乘）
$BetterThirdPersonSelection_WidgetSizeMin_HorseBack_InfoText	騎乘時距離相機最遠時的小工具大小。
$BetterThirdPersonSelection_WidgetSizeMax_HorseBack_OptionText	最大小工具大小（騎乘）
$BetterThirdPersonSelection_WidgetSizeMax_HorseBack_InfoText	騎乘時距離相機最近時的小工具大小。
$BetterThirdPersonSelection_PriorityPage	優先度
$BetterThirdPersonSelection_PriorityPage_HeaderText	優先度設定
$BetterThirdPersonSelection_AngleMult_OptionText	角度優先度乘數
$BetterThirdPersonSelection_AngleMult_InfoText	數值越高，相機前向向量與指向物件向量之間的角度差，對決定選取哪個物件的影響越大。
$BetterThirdPersonSelection_DistMult_OptionText	距離優先度乘數
$BetterThirdPersonSelection_DistMult_InfoText	數值越高，與物件的距離對決定選取哪個物件的影響越大。
$BetterThirdPersonSelection_TypeMult_OptionText	類型優先度乘數
$BetterThirdPersonSelection_TypeMult_InfoText	數值越高，物件類型對決定選取哪個物件的影響越大。例如雜項物件的重要性低於武器。這些優先度目前已硬編碼。
$BetterThirdPersonSelection_SpecificMult_OptionText	特定物件優先度乘數
$BetterThirdPersonSelection_SpecificMult_InfoText	數值越高，特定的物件基底 ID 清單（目前已硬編碼）相較其他物件會有更高優先度。目前只有金幣。
$BetterThirdPersonSelection_ValueMult_OptionText	金幣價值優先度乘數
$BetterThirdPersonSelection_ValueMult_InfoText	數值越高，物件的金幣價值對決定選取哪個物件的影響越大。
$BetterThirdPersonSelection_MaxValue_OptionText	最大金幣價值
$BetterThirdPersonSelection_MaxValue_InfoText	ValueMult 內部使用的最大數值。將此設為很低的值，會讓金幣價值的小差異對優先度產生更大影響。
$BetterThirdPersonSelection_NativeSelectionBonus_OptionText	原生選取加成
$BetterThirdPersonSelection_NativeSelectionBonus_InfoText	由 Skyrim 原生準星選取決定的物件可直接獲得加成。設為很高的值時，只要存在原生選取，就會一律選取它。
$BetterThirdPersonSelection_PreviousSelectionBonus_OptionText	前次選取加成
$BetterThirdPersonSelection_PreviousSelectionBonus_InfoText	仍然有效的前次選取物件可直接獲得加成。應設為低但非零的值，讓選取略具「黏性」，避免選取閃爍。
$BetterThirdPersonSelection_NPCSelectionBonus_OptionText	NPC 選取加成
$BetterThirdPersonSelection_NPCSelectionBonus_InfoText	可選取 NPC 可直接獲得加成。數值越高越容易選取 NPC，但越難選取 NPC 旁的物件。
$BetterThirdPersonSelection_PerformancePage	效能
$BetterThirdPersonSelection_PerformancePage_HeaderText	效能設定
$BetterThirdPersonSelection_NumTracesHorizontal_OptionText	水平射線追蹤數
$BetterThirdPersonSelection_NumTracesHorizontal_InfoText	每個物件水平方向執行的最大射線追蹤數。追蹤總數為此數值 * 垂直追蹤數。更多追蹤 = 更精確的遮蔽偵測，但效能較差；反之亦然。
$BetterThirdPersonSelection_NumTracesVertical_OptionText	垂直射線追蹤數
$BetterThirdPersonSelection_NumTracesVertical_InfoText	每個物件垂直方向執行的最大射線追蹤數。追蹤總數為此數值 * 水平追蹤數。更多追蹤 = 更精確的遮蔽偵測，但效能較差；反之亦然。
$BetterThirdPersonSelection_DebugPage	除錯
$BetterThirdPersonSelection_DebugPage_HeaderText	除錯設定
$BetterThirdPersonSelection_Draw_RayTraces_OptionText	除錯射線追蹤
$BetterThirdPersonSelection_Draw_RayTraces_InfoText	啟用／停用 Scaleform 除錯射線追蹤。僅在啟用自訂物件選取演算法時有效。
$BetterThirdPersonSelection_Draw_Bounds_Box_OptionText	除錯邊界－方框
$BetterThirdPersonSelection_Draw_Bounds_Box_InfoText	啟用／停用附近物件的 Scaleform 除錯方框。僅在啟用自訂物件選取演算法時有效。
$BetterThirdPersonSelection_Draw_Bounds_Sphere_OptionText	除錯邊界－球體
$BetterThirdPersonSelection_Draw_Bounds_Sphere_InfoText	啟用／停用 Scaleform 除錯球體，以顯示所選物件的世界邊界。僅在啟用自訂物件選取演算法時有效。
$BetterThirdPersonSelection_Draw_Bounds_MinMax_OptionText	除錯邊界－方框最小／最大值
$BetterThirdPersonSelection_Draw_Bounds_MinMax_InfoText	啟用／停用 Scaleform 除錯繪製，以顯示附近物件邊界方框的世界座標最小／最大值。僅在啟用自訂物件選取演算法時有效。
$BetterThirdPersonSelection_DebugDrawThickness_OptionText	線條粗細
$BetterThirdPersonSelection_DebugDrawThickness_InfoText	除錯繪製的線條粗細（px）。
$BetterThirdPersonSelection_DebugDrawAlpha_OptionText	線條 Alpha
$BetterThirdPersonSelection_DebugDrawAlpha_InfoText	除錯繪製的 Alpha 數值。
$BetterThirdPersonSelection_AdditionalSettings_HeaderText	其他設定
$BetterThirdPersonSelection_HotReloadConfig_OptionText	重新載入篩選器
$BetterThirdPersonSelection_HotReloadConfig_InfoText	每次關閉 BTPS MCM 時啟用／停用重新載入 ObjectFilterList.toml。設定篩選器清單時很有用。
$BetterThirdPersonSelection_ShowFurnitureMarkers_OptionText	顯示家具標記
$BetterThirdPersonSelection_ShowFurnitureMarkers_InfoText	啟用／停用顯示 NPC 的各種家具標記。
$BetterThirdPersonSelection_FilterPage	篩選器
$BetterThirdPersonSelection_FilterSettings_HeaderText	篩選器設定
$BetterThirdPersonSelection_Filter_InfoText	啟用／停用篩選器。
$BetterThirdPersonSelection_EnableFiltersForNativeSelection_OptionText	為準星選取啟用篩選器
$BetterThirdPersonSelection_EnableFiltersForNativeSelection_InfoText	BTPS 選取未啟用時（例如第一人稱且預設停用 BTPS 選取）啟用／停用篩選器。
$BetterThirdPersonSelection_CompatibilityPage	相容性
$BetterThirdPersonSelection_CompatibilitySettings_HeaderText	相容性設定
$BetterThirdPersonSelection_AdjustMoreHudWidgets_OptionText	啟用／停用 MoreHUD 相容性
$BetterThirdPersonSelection_AdjustMoreHudWidgets_InfoText	啟用後（已安裝 MoreHUD 時），部分 MoreHUD 元件會隨 3D 小工具移動。這可能與某些螢幕比例衝突，而且我實在受夠了 Scaleform，無意修正。必須重新啟動才能正確生效。
$BetterThirdPersonSelection_AdjustQuickLootWidgets_OptionText	啟用／停用 3D QuickLootIE 小工具
$BetterThirdPersonSelection_AdjustQuickLootWidgets_InfoText	啟用後（已安裝 QuickLootIE 時），部分 QuickLootIE 元件會隨 3D 小工具移動／縮放。停用可維持 2D。
